identificadorEmpenho,numeroEmpenho,anoEmpenho,processoEmpenho,numeroDocumento,codigoOrgao,codigoUnidade,dataEmissao,dataVencimento,dataPagamento,cpfCnpjCredor,razaoSocialCredor,valorDocumento,valorCancelado,valorPago,tipoDocumento,tipoPagamento,processoPagamento,nrNLP,anoNLP,codigoEmpresa,modifiedMode,usuarioOperacao,descricaoDocumento
3330104,25927,2026,6074202400025174,119,34,10,02/03/2026 00:00:00,30/03/2026 00:00:00,30/03/2026 00:00:00,11766695000133,SOLITA TECNOLOGIA E SERVICOS EMPRESARIAIS LTDA,15794.65,0.0,15036.51,NOTA FISCAL ELETRÔNICA,,6074202600006785,60526,2026,01,5,,Prestação de Serviços de RECEPÇÃO para as sedes dos 52 (cinquenta e dois) Conselhos Tutelares
3330135,25941,2026,6025202500285251,12913325,25,10,05/03/2026 09:11:22,23/03/2026 00:00:00,23/03/2026 00:00:00,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,2585.23,0.0,61245.59,FATURA,CONTA SABESP,6025202600007482,66105,2026,01,5,,
3330135,25941,2026,6025202500285251,18645372,25,10,05/03/2026 09:11:22,23/04/2026 00:00:00,23/04/2026 00:00:00,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,3632.8,0.0,60609.73,FATURA,CONTA SABESP,6025202600030069,90729,2026,01,5,,
3330135,25941,2026,6025202500285251,18645386,25,10,05/03/2026 09:11:22,23/04/2026 00:00:00,23/04/2026 00:00:00,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,116.96,0.0,60609.73,FATURA,CONTA SABESP,6025202600030069,90729,2026,01,5,,
3330135,25941,2026,6025202500285251,18648317,25,10,05/03/2026 09:11:22,23/04/2026 00:00:00,23/04/2026 00:00:00,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,2946.63,0.0,60609.73,FATURA,CONTA SABESP,6025202600030069,90729,2026,01,5,,
3330135,25941,2026,6025202500285251,12910511,25,10,05/03/2026 09:11:22,23/03/2026 00:00:00,23/03/2026 00:00:00,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,4445.93,0.0,61245.59,FATURA,CONTA SABESP,6025202600007482,66105,2026,01,5,,
3330135,25941,2026,6025202500285251,12910511,25,10,05/03/2026 09:11:22,23/03/2026 00:00:00,23/03/2026 00:00:00,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,4445.93,0.0,61245.59,FATURA,CONTA SABESP,6025202600007482,66105,2026,01,5,,
3330135,25941,2026,6025202500285251,12910028,25,10,05/03/2026 09:11:22,23/03/2026 00:00:00,23/03/2026 00:00:00,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,1367.62,0.0,61245.59,FATURA,CONTA SABESP,6025202600007482,66105,2026,01,5,,
3330135,25941,2026,6025202500285251,18645367,25,10,05/03/2026 09:11:22,23/04/2026 00:00:00,23/04/2026 00:00:00,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,116.96,0.0,60609.73,FATURA,CONTA SABESP,6025202600030069,90729,2026,01,5,,
3330135,25941,2026,6025202500285251,18645368,25,10,05/03/2026 09:11:22,23/04/2026 00:00:00,23/04/2026 00:00:00,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,1940.25,0.0,60609.73,FATURA,CONTA SABESP,6025202600030069,90729,2026,01,5,,
3330135,25941,2026,6025202500285251,18645361,25,10,05/03/2026 09:11:22,23/04/2026 00:00:00,23/04/2026 00:00:00,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,589.84,0.0,60609.73,FATURA,CONTA SABESP,6025202600030069,90729,2026,01,5,,
3330060,25910,2026,6016202300863953,03,16,18,06/03/2026 00:00:00,01/04/2026 00:00:00,01/04/2026 00:00:00,04941695000167,CENTRO INTEGRADO DE PROMOCAO SOCIAL,292173.45,0.0,292173.45,REQUERIMENTO,,6016202600043331,68186,2026,01,5,,PGT CEI NUVEM DE ALGODÃO -MAR26- PER CAPITA
3330142,25944,2026,6065202500005699,940,36,10,23/03/2026 00:00:00,01/04/2026 00:00:00,01/04/2026 00:00:00,28423151000171,MOBILIARE ASSENTOS CORPORATIVOS LTDA,13140.0,0.0,12982.32,NOTA FISCAL ELETRÔNICA,,6065202600002500,77161,2026,01,5,,SMPED - TC 06/2026 - P - NF 940 - Mar/26 - 11 armários
3330142,25944,2026,6065202500005699,940,36,10,23/03/2026 00:00:00,01/04/2026 00:00:00,01/04/2026 00:00:00,28423151000171,MOBILIARE ASSENTOS CORPORATIVOS LTDA,13140.0,0.0,12982.32,NOTA FISCAL ELETRÔNICA,,6065202600002500,77161,2026,01,5,,SMPED - TC 06/2026 - P - NF 940 - Mar/26 - 11 armários
3330060,25910,2026,6016202300863953,04,16,18,06/04/2026 00:00:00,04/05/2026 00:00:00,04/05/2026 00:00:00,04941695000167,CENTRO INTEGRADO DE PROMOCAO SOCIAL,300138.92,0.0,300138.92,REQUERIMENTO,,6016202600043331,99926,2026,01,5,,PGT CEI NUVEM DE ALGODAO - ABRIL 2026
3330135,25941,2026,6025202500285251,22023018,25,10,14/04/2026 09:31:05,23/04/2026 00:00:00,23/04/2026 00:00:00,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,785.71,0.0,60609.73,FATURA,CONTA SABESP,6025202600030069,90729,2026,01,5,,
3330060,25910,2026,6016202300863953,04,16,18,06/04/2026 00:00:00,04/05/2026 00:00:00,04/05/2026 00:00:00,04941695000167,CENTRO INTEGRADO DE PROMOCAO SOCIAL,300138.92,0.0,300138.92,REQUERIMENTO,,6016202600043331,99926,2026,01,5,,PGT CEI NUVEM DE ALGODAO - ABRIL 2026
3330135,25941,2026,6025202500285251,22023046,25,10,14/04/2026 09:31:05,23/04/2026 00:00:00,23/04/2026 00:00:00,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,2900.87,0.0,60609.73,FATURA,CONTA SABESP,6025202600030069,90729,2026,01,5,,
3330135,25941,2026,6025202500285251,22023018,25,10,14/04/2026 09:31:05,23/04/2026 00:00:00,23/04/2026 00:00:00,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,785.71,0.0,60609.73,FATURA,CONTA SABESP,6025202600030069,90729,2026,01,5,,
3330135,25941,2026,6025202500285251,22023046,25,10,14/04/2026 09:31:05,23/04/2026 00:00:00,23/04/2026 00:00:00,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,2900.87,0.0,60609.73,FATURA,CONTA SABESP,6025202600030069,90729,2026,01,5,,
3330135,25941,2026,6025202500285251,22023018,25,10,14/04/2026 09:31:05,23/04/2026 00:00:00,23/04/2026 00:00:00,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,785.71,0.0,60609.73,FATURA,CONTA SABESP,6025202600030069,90729,2026,01,5,,
3330135,25941,2026,6025202500285251,22023018,25,10,14/04/2026 09:31:05,23/04/2026 00:00:00,23/04/2026 00:00:00,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,785.71,0.0,60609.73,FATURA,CONTA SABESP,6025202600030069,90729,2026,01,5,,
3330135,25941,2026,6025202500285251,22023046,25,10,14/04/2026 09:31:05,23/04/2026 00:00:00,23/04/2026 00:00:00,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,2900.87,0.0,60609.73,FATURA,CONTA SABESP,6025202600030069,90729,2026,01,5,,
3330135,25941,2026,6025202500285251,30576235,25,10,14/04/2026 09:31:05,23/05/2026 00:00:00,25/05/2026 00:00:00,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,120.84,0.0,62809.75,FATURA,CONTA SABESP,6025202600044825,118279,2026,01,5,,
3330135,25941,2026,6025202500285251,30576235,25,10,14/04/2026 09:31:05,23/05/2026 00:00:00,25/05/2026 00:00:00,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,120.84,0.0,62809.75,FATURA,CONTA SABESP,6025202600044825,118279,2026,01,5,,
3330135,25941,2026,6025202500285251,30576242,25,10,14/04/2026 09:31:05,23/05/2026 00:00:00,25/05/2026 00:00:00,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,11617.36,0.0,62809.75,FATURA,CONTA SABESP,6025202600044825,118279,2026,01,5,,
3330135,25941,2026,6025202500285251,22026292,25,10,14/04/2026 09:31:05,23/04/2026 00:00:00,23/04/2026 00:00:00,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,4639.17,0.0,60609.73,FATURA,CONTA SABESP,6025202600030069,90729,2026,01,5,,
3330135,25941,2026,6025202500285251,22026317,25,10,14/04/2026 09:31:05,23/04/2026 00:00:00,23/04/2026 00:00:00,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,1049.73,0.0,60609.73,FATURA,CONTA SABESP,6025202600030069,90729,2026,01,5,,
3330135,25941,2026,6025202500285251,22026317,25,10,14/04/2026 09:31:05,23/04/2026 00:00:00,23/04/2026 00:00:00,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,1049.73,0.0,60609.73,FATURA,CONTA SABESP,6025202600030069,90729,2026,01,5,,
3330124,25933,2026,6025202500285251,32565341,25,10,15/04/2026 15:24:25,23/05/2026 00:00:00,25/05/2026 00:00:00,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,8756.18,0.0,8756.18,FATURA,CONTA SABESP,6025202600044701,89840,2026,01,5,,
3330135,25941,2026,6025202500285251,22026292,25,10,14/04/2026 09:31:05,23/04/2026 00:00:00,23/04/2026 00:00:00,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,4639.17,0.0,60609.73,FATURA,CONTA SABESP,6025202600030069,90729,2026,01,5,,
3330135,25941,2026,6025202500285251,30576216,25,10,14/04/2026 09:31:05,23/05/2026 00:00:00,25/05/2026 00:00:00,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,120.84,0.0,62809.75,FATURA,CONTA SABESP,6025202600044825,118279,2026,01,5,,
3330135,25941,2026,6025202500285251,30576217,25,10,14/04/2026 09:31:05,23/05/2026 00:00:00,25/05/2026 00:00:00,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,1848.75,0.0,62809.75,FATURA,CONTA SABESP,6025202600044825,118279,2026,01,5,,
3330135,25941,2026,6025202500285251,22026292,25,10,14/04/2026 09:31:05,23/04/2026 00:00:00,23/04/2026 00:00:00,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,4639.17,0.0,60609.73,FATURA,CONTA SABESP,6025202600030069,90729,2026,01,5,,
3330135,25941,2026,6025202500285251,30576216,25,10,14/04/2026 09:31:05,23/05/2026 00:00:00,25/05/2026 00:00:00,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,120.84,0.0,62809.75,FATURA,CONTA SABESP,6025202600044825,118279,2026,01,5,,
3330135,25941,2026,6025202500285251,30576217,25,10,14/04/2026 09:31:05,23/05/2026 00:00:00,25/05/2026 00:00:00,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,1848.75,0.0,62809.75,FATURA,CONTA SABESP,6025202600044825,118279,2026,01,5,,
3330124,25933,2026,6025202500285251,32565341,25,10,15/04/2026 15:24:25,23/05/2026 00:00:00,25/05/2026 00:00:00,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,8756.18,0.0,8756.18,FATURA,CONTA SABESP,6025202600044701,89840,2026,01,5,,
3349194,39739,2026,6024202100020727,PORT 046,93,10,16/04/2026 00:00:00,16/04/2026 00:00:00,23/04/2026 00:00:00,02620604000166,ASSOCIAÇÃO COMUNITÁRIA DE SÃO MATEUS,23001.42,0.0,23001.42,OUTROS,,6024202100067723,91017,2026,01,5,,Port. 046/SMADS/2026 - TC 203/SMADS/2021 - SEAS IV - LA - VILA LEOPOLDINA
3349194,39739,2026,6024202100020727,PORT 046,93,10,16/04/2026 00:00:00,16/04/2026 00:00:00,23/04/2026 00:00:00,02620604000166,ASSOCIAÇÃO COMUNITÁRIA DE SÃO MATEUS,23001.42,0.0,23001.42,OUTROS,,6024202100067723,91017,2026,01,5,,Port. 046/SMADS/2026 - TC 203/SMADS/2021 - SEAS IV - LA - VILA LEOPOLDINA
3349194,39739,2026,6024202100020727,PORT 046,93,10,16/04/2026 00:00:00,16/04/2026 00:00:00,23/04/2026 00:00:00,02620604000166,ASSOCIAÇÃO COMUNITÁRIA DE SÃO MATEUS,23001.42,0.0,23001.42,OUTROS,,6024202100067723,91017,2026,01,5,,Port. 046/SMADS/2026 - TC 203/SMADS/2021 - SEAS IV - LA - VILA LEOPOLDINA
3349194,39739,2026,6024202100020727,PORT 046,93,10,16/04/2026 00:00:00,16/04/2026 00:00:00,23/04/2026 00:00:00,02620604000166,ASSOCIAÇÃO COMUNITÁRIA DE SÃO MATEUS,23001.42,0.0,23001.42,OUTROS,,6024202100067723,91017,2026,01,5,,Port. 046/SMADS/2026 - TC 203/SMADS/2021 - SEAS IV - LA - VILA LEOPOLDINA
3349194,39739,2026,6024202100020727,PORT 046,93,10,16/04/2026 00:00:00,16/04/2026 00:00:00,23/04/2026 00:00:00,02620604000166,ASSOCIAÇÃO COMUNITÁRIA DE SÃO MATEUS,23001.42,0.0,23001.42,OUTROS,,6024202100067723,91017,2026,01,5,,Port. 046/SMADS/2026 - TC 203/SMADS/2021 - SEAS IV - LA - VILA LEOPOLDINA
3330065,25914,2026,6016202500680917,MARÇO/2026,16,19,01/04/2026 00:00:00,30/04/2026 00:00:00,30/04/2026 00:00:00,06640787458,ALINNE NAIANY SOUZA SILVA,19507.18,0.0,13400.17,REQUERIMENTO,,6016202600471074,97597,2026,01,5,, Pagamento instrutora de libras Alinne Naiany MARÇO/2026
3330065,25914,2026,6016202500680917,MARÇO/2026,16,19,01/04/2026 00:00:00,30/04/2026 00:00:00,30/04/2026 00:00:00,06640787458,ALINNE NAIANY SOUZA SILVA,19507.18,0.0,13400.17,REQUERIMENTO,,6016202600471074,97597,2026,01,5,, Pagamento instrutora de libras Alinne Naiany MARÇO/2026
3330135,25941,2026,6025202500285251,Ref. 12/2025 a 01/20,25,10,06/02/2026 00:00:00,30/04/2026 00:00:00,30/04/2026 00:00:00,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,3077.46,0.0,0.0,OUTROS,,6025202600007482,98091,2026,01,5,,IRRF - NPL 2
3349195,39740,2026,6024202000094206,Portaria 046/2026,93,10,29/04/2026 00:00:00,29/04/2026 00:00:00,05/05/2026 00:00:00,67134155000191,ASSOCIACAO UNIAO DA JUTA,68136.39,0.0,68136.39,OUTROS,,6024202100026172,104369,2026,01,5,,Port. 046/SMADS/2026 - TC 091/SMADS/2021 - CDI - SB - SAPOPEMBA
3330135,25941,2026,6025202500285251,Ref. 12/2025 a 01/20,25,10,06/02/2026 00:00:00,30/04/2026 00:00:00,30/04/2026 00:00:00,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,3077.46,0.0,0.0,OUTROS,,6025202600007482,98091,2026,01,5,,IRRF - NPL 2
3330104,25927,2026,6074202400025174,127,34,10,01/04/2026 00:00:00,30/04/2026 00:00:00,12/05/2026 00:00:00,11766695000133,SOLITA TECNOLOGIA E SERVICOS EMPRESARIAIS LTDA,15794.65,0.0,15036.51,NOTA FISCAL ELETRÔNICA,,6074202600006785,111556,2026,01,5,,Prestação de Serviços de RECEPÇÃO para as sedes dos 52 (cinquenta e dois) Conselhos Tutelares
3330104,25927,2026,6074202400025174,127,34,10,01/04/2026 00:00:00,30/04/2026 00:00:00,12/05/2026 00:00:00,11766695000133,SOLITA TECNOLOGIA E SERVICOS EMPRESARIAIS LTDA,15794.65,0.0,15036.51,NOTA FISCAL ELETRÔNICA,,6074202600006785,111556,2026,01,5,,Prestação de Serviços de RECEPÇÃO para as sedes dos 52 (cinquenta e dois) Conselhos Tutelares
3330104,25927,2026,6074202400025174,134,34,10,24/04/2026 00:00:00,22/04/2026 00:00:00,12/05/2026 00:00:00,11766695000133,SOLITA TECNOLOGIA E SERVICOS EMPRESARIAIS LTDA,40996.2,0.0,33698.89,NOTA FISCAL ELETRÔNICA,,6074202600006785,111567,2026,01,5,,Prestação de Serviços de RECEPÇÃO para as sedes dos 52 (cinquenta e dois) Conselhos Tutelares
3330135,25941,2026,6025202500285251,40891251,25,10,13/05/2026 10:37:15,23/06/2026 00:00:00,23/06/2026 00:00:00,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,120.93,0.0,64156.77,FATURA,CONTA SABESP,6025202600071024,140616,2026,01,5,,
3330135,25941,2026,6025202500285251,40894168,25,10,13/05/2026 10:37:15,23/06/2026 00:00:00,23/06/2026 00:00:00,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,3013.11,0.0,64156.77,FATURA,CONTA SABESP,6025202600071024,140616,2026,01,5,,
3330135,25941,2026,6025202500285251,32568582,25,10,13/05/2026 10:37:15,23/05/2026 00:00:00,25/05/2026 00:00:00,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,2855.14,0.0,62809.75,FATURA,CONTA SABESP,6025202600044825,118279,2026,01,5,,
3330135,25941,2026,6025202500285251,32565802,25,10,13/05/2026 10:37:15,23/05/2026 00:00:00,25/05/2026 00:00:00,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,7566.83,0.0,62809.75,FATURA,CONTA SABESP,6025202600044825,118279,2026,01,5,,
3330060,25910,2026,6016202300863953,05,16,18,07/05/2026 00:00:00,01/06/2026 00:00:00,01/06/2026 00:00:00,04941695000167,CENTRO INTEGRADO DE PROMOCAO SOCIAL,194717.95,0.0,194717.95,REQUERIMENTO,,6016202600043331,123220,2026,01,5,,CEI NUVEM DE ALGODÃO - MAIO 2026
3330124,25933,2026,6025202500285251,Ref. 04/2026,25,10,14/04/2026 00:00:00,29/05/2026 00:00:00,29/05/2026 00:00:00,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,549.31,0.0,0.0,FATURA,,6025202600029931,120352,2026,01,5,,IRRF - NPL 2
3330135,25941,2026,6025202500285251,Ref. 04/2026,25,10,05/03/2026 00:00:00,29/05/2026 00:00:00,29/05/2026 00:00:00,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,3045.86,0.0,0.0,FATURA,,6025202600030069,120954,2026,01,5,,IRRF - NPL 2
3330060,25910,2026,6016202300863953,05,16,18,07/05/2026 00:00:00,01/06/2026 00:00:00,01/06/2026 00:00:00,04941695000167,CENTRO INTEGRADO DE PROMOCAO SOCIAL,194717.95,0.0,194717.95,REQUERIMENTO,,6016202600043331,123220,2026,01,5,,CEI NUVEM DE ALGODÃO - MAIO 2026
3330135,25941,2026,6025202500285251,Ref. 03/2026,25,10,12/03/2026 00:00:00,29/05/2026 00:00:00,29/05/2026 00:00:00,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,2334.95,0.0,0.0,FATURA,,6025202600054375,122546,2026,01,5,,IRRF - NPL 2
3330083,25918,2026,6048202500061553,2216,61,10,01/05/2026 00:00:00,11/06/2026 00:00:00,11/06/2026 00:00:00,14457456000190,SUPERDATTA TECNOLOGIA LTDA,15211.31,0.0,14481.17,FATURA,,6048202600019478,133818,2026,01,5,,Pgto fatura 2216 - Locação de computadores avançados
3330083,25918,2026,6048202500061553,2216,61,10,01/05/2026 00:00:00,11/06/2026 00:00:00,11/06/2026 00:00:00,14457456000190,SUPERDATTA TECNOLOGIA LTDA,15211.31,0.0,14481.17,FATURA,,6048202600019478,133818,2026,01,5,,Pgto fatura 2216 - Locação de computadores avançados
3330083,25918,2026,6048202500061553,2216,61,10,01/05/2026 00:00:00,11/06/2026 00:00:00,11/06/2026 00:00:00,14457456000190,SUPERDATTA TECNOLOGIA LTDA,15211.31,0.0,14481.17,FATURA,,6048202600019478,133818,2026,01,5,,Pgto fatura 2216 - Locação de computadores avançados
3330104,25927,2026,6074202400025174,136,34,10,01/05/2026 00:00:00,30/05/2026 00:00:00,09/06/2026 00:00:00,11766695000133,SOLITA TECNOLOGIA E SERVICOS EMPRESARIAIS LTDA,29460.05,0.0,28045.97,NOTA FISCAL ELETRÔNICA,,6074202600006785,137183,2026,01,5,,Prestação de Serviços de RECEPÇÃO para as sedes dos 52 (cinquenta e dois) Conselhos Tutelares
3330092,25924,2026,6025202500271951,191951603002,25,10,01/05/2026 00:00:00,15/06/2026 00:00:00,15/06/2026 00:00:00,40432544000147,CLARO SA,1426.0,0.0,1357.55,FATURA,,6025202600094989,134780,2026,01,5,,"SMC/FATURA 191951603002 - Ref. 05/2026 - Locação de SIM cards para acesso à internet móvel, incluind"
3330104,25927,2026,6074202400025174,136,34,10,01/05/2026 00:00:00,30/05/2026 00:00:00,09/06/2026 00:00:00,11766695000133,SOLITA TECNOLOGIA E SERVICOS EMPRESARIAIS LTDA,29460.05,0.0,28045.97,NOTA FISCAL ELETRÔNICA,,6074202600006785,137183,2026,01,5,,Prestação de Serviços de RECEPÇÃO para as sedes dos 52 (cinquenta e dois) Conselhos Tutelares
3330104,25927,2026,6074202400025174,136,34,10,01/05/2026 00:00:00,30/05/2026 00:00:00,09/06/2026 00:00:00,11766695000133,SOLITA TECNOLOGIA E SERVICOS EMPRESARIAIS LTDA,29460.05,0.0,28045.97,NOTA FISCAL ELETRÔNICA,,6074202600006785,137183,2026,01,5,,Prestação de Serviços de RECEPÇÃO para as sedes dos 52 (cinquenta e dois) Conselhos Tutelares
3330092,25924,2026,6025202500271951,191951603001,25,10,27/05/2026 00:00:00,12/06/2026 00:00:00,12/06/2026 00:00:00,40432544000147,CLARO SA,996.0,0.0,948.19,FATURA,,6025202600076026,136075,2026,01,5,,"SMC/FATURA 191951603001 Ref. 05/2026 - Locação de SIM cards para acesso à internet móvel, incluindo "
3330135,25941,2026,6025202500285251,52266073,25,10,03/06/2026 17:37:50,23/07/2026 00:00:00,,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO  SABESP,4021.67,0.0,54941.62,FATURA,CONTA SABESP,6025202600093451,166229,2026,01,5,,
