identificadorEmpenho,numeroEmpenho,anoEmpenho,processoEmpenho,numeroDocumento,descricaoDocumento,codigoOrgao,codigoUnidade,dataEmissao,dataVencimento,dataPagamento,cpfCnpjCredor,razaoSocialCredor,valorDocumento,valorCancelado,valorPago,tipoDocumento,processoPagamento,nrNLP,anoNLP,codigoEmpresa,modifiedMode,usuarioOperacao
2591043,29779,2022,6016201700491958,OFICIO AGOSTO,REPASSE CEI HELENA QUINTA REIS,16,11,03/08/2022 00:00:00,01/09/2022 00:00:00,01/09/2022 00:00:00,06264961000190,ASSOCIAÇÃO METODISTA DE AÇÃO SOCIAL-AMAS-MOOCA,107070.15,0.0,107070.15,OUTROS,6016202200002360,189221,2022,01,5,
2591043,29779,2022,6016201700491958,OFICIO AGOSTO,REPASSE CEI HELENA QUINTA REIS,16,11,03/08/2022 00:00:00,01/09/2022 00:00:00,01/09/2022 00:00:00,06264961000190,ASSOCIAÇÃO METODISTA DE AÇÃO SOCIAL-AMAS-MOOCA,107070.15,0.0,107070.15,OUTROS,6016202200002360,189221,2022,01,5,
2591040,29777,2022,6016201700507056,OFICIO AGOSTO,REPASSE CEI HELENA DA SILVA TEIXEIRA,16,11,01/08/2022 00:00:00,01/09/2022 00:00:00,01/09/2022 00:00:00,48051502000178,OBRA SOCIAL SÃO JOSE DE VILA ZELINA,144957.55,0.0,144957.55,OUTROS,6016202200000716,191395,2022,01,5,
2591040,29777,2022,6016201700507056,OFICIO AGOSTO,REPASSE CEI HELENA DA SILVA TEIXEIRA,16,11,01/08/2022 00:00:00,01/09/2022 00:00:00,01/09/2022 00:00:00,48051502000178,OBRA SOCIAL SÃO JOSE DE VILA ZELINA,144957.55,0.0,144957.55,OUTROS,6016202200000716,191395,2022,01,5,
2579259,20386,2022,6016201700587629,SETEMBRO,CEI NAIR SALGADO - MENSAL - SETEMBRO/2022,16,12,14/09/2022 00:00:00,01/10/2022 00:00:00,03/10/2022 00:00:00,43633288000144,COR - CENTRO DE ORIENTACAO A FAMILIA,231756.62,0.0,231756.62,REQUERIMENTO,6016202200610980,211022,2022,01,5,
2591040,29777,2022,6016201700507056,OFICIO SETEMBRO,REPASSE CEI HELENA DA SILVA TEIXEIRA,16,11,01/09/2022 00:00:00,03/10/2022 00:00:00,03/10/2022 00:00:00,48051502000178,OBRA SOCIAL SÃO JOSE DE VILA ZELINA,144647.27,0.0,144647.27,OUTROS,6016202200000716,209957,2022,01,5,
2591043,29779,2022,6016201700491958,OFICIO SETEMBRO,REPASSE CEI HELENA QUINTA REIS,16,11,05/09/2022 00:00:00,03/10/2022 00:00:00,03/10/2022 00:00:00,06264961000190,ASSOCIAÇÃO METODISTA DE AÇÃO SOCIAL-AMAS-MOOCA,107483.09,0.0,107483.09,OUTROS,6016202200002360,209945,2022,01,5,
2591043,29779,2022,6016201700491958,OFICIO SETEMBRO,REPASSE CEI HELENA QUINTA REIS,16,11,05/09/2022 00:00:00,03/10/2022 00:00:00,03/10/2022 00:00:00,06264961000190,ASSOCIAÇÃO METODISTA DE AÇÃO SOCIAL-AMAS-MOOCA,107483.09,0.0,107483.09,OUTROS,6016202200002360,209945,2022,01,5,
2579259,20386,2022,6016201700587629,SETEMBRO,CEI NAIR SALGADO - MENSAL - SETEMBRO/2022,16,12,14/09/2022 00:00:00,01/10/2022 00:00:00,03/10/2022 00:00:00,43633288000144,COR - CENTRO DE ORIENTACAO A FAMILIA,231756.62,0.0,231756.62,REQUERIMENTO,6016202200610980,211022,2022,01,5,
2579259,20386,2022,6016201700587629,OUTUBRO,CEI NAIR SALGADO - MENSAL - PARCIAL OUTUBRO/22.,16,12,13/10/2022 00:00:00,01/11/2022 00:00:00,,43633288000144,COR - CENTRO DE ORIENTACAO A FAMILIA,75490.04,75490.04,0.0,REQUERIMENTO,,-1,-1,01,5,
2579259,20386,2022,6016201700587629,OUTUBRO- PARCIAL,CEI NAIR SALGADO - MENSAL - PARCIAL OUTUBRO/22.,16,12,13/10/2022 00:00:00,01/11/2022 00:00:00,01/11/2022 00:00:00,43633288000144,COR - CENTRO DE ORIENTACAO A FAMILIA,98916.86,0.0,98916.86,REQUERIMENTO,6016202201052078,236949,2022,01,5,
2579259,20386,2022,6016201700587629,OUTUBRO,CEI NAIR SALGADO - MENSAL - PARCIAL OUTUBRO/22.,16,12,13/10/2022 00:00:00,01/11/2022 00:00:00,,43633288000144,COR - CENTRO DE ORIENTACAO A FAMILIA,75490.04,75490.04,0.0,REQUERIMENTO,,-1,-1,01,5,
2579259,20386,2022,6016201700587629,OUTUBRO- PARCIAL,CEI NAIR SALGADO - MENSAL - PARCIAL OUTUBRO/22.,16,12,13/10/2022 00:00:00,01/11/2022 00:00:00,01/11/2022 00:00:00,43633288000144,COR - CENTRO DE ORIENTACAO A FAMILIA,98916.86,0.0,98916.86,REQUERIMENTO,6016202201052078,236949,2022,01,5,
2591040,29777,2022,6016201700507056,OFICIO NOVEMBRO,REPASSE CEI HELENA DA SILVA TEIXEIRA,16,11,01/11/2022 00:00:00,01/12/2022 00:00:00,01/12/2022 00:00:00,48051502000178,OBRA SOCIAL SÃO JOSE DE VILA ZELINA,38166.95,0.0,38166.95,OUTROS,6016202200000716,269358,2022,01,5,
2591043,29779,2022,6016201700491958,OFICIO NOVEMBRO,REPASSE CEI HELENA QUINTA REIS,16,11,01/11/2022 00:00:00,01/12/2022 00:00:00,01/12/2022 00:00:00,06264961000190,ASSOCIAÇÃO METODISTA DE AÇÃO SOCIAL-AMAS-MOOCA,49961.37,0.0,49961.37,OUTROS,6016202200002360,269246,2022,01,5,
